id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
1204360,camara,2018,RO,36786,33038,783305
1204425,camara,2018,PE,36815,109185,4331764
1168175,camara,2018,MA,36765,74059,3270678
1178946,camara,2018,RJ,37906,48328,7720770
1178947,camara,2018,RJ,36769,94203,7720770
192776,camara,2018,MG,36834,115795,10078120
1177282,camara,2018,MG,36786,93932,10078120
1204534,camara,2018,SP,36786,264450,21104181
1178922,camara,2018,PE,36832,53597,4331764
174806,camara,2018,DF,36899,27917,1439876
1204464,camara,2018,RJ,36839,107317,7720770
1206231,camara,2018,ES,36832,42580,1933018
1178901,camara,2018,MS,36769,75068,1240027
1204466,camara,2018,AL,36835,44207,1458674
1143084,camara,2018,TO,36765,71842,715942
1204519,camara,2018,MG,37901,71901,10078120
1160976,camara,2018,SP,37906,453855,21104181
1197438,camara,2018,BA,36898,48899,6868013
1178934,camara,2018,PR,36763,72475,5731922
1157130,camara,2018,PE,36786,75642,4331764
1178863,camara,2018,BA,36762,66343,6868013
1195866,camara,2018,CE,36763,30392,4594520
1204385,camara,2018,SE,36833,45472,998669
1160610,camara,2018,BA,36844,118313,6868013
1141552,camara,2018,MT,36899,44135,1481262
174376,camara,2018,MS,36844,55970,1240027
1141553,camara,2018,SP,36835,102708,21104181
1204505,camara,2018,PA,36815,158717,3956457
1204396,camara,2018,PR,36834,70001,5731922
174283,camara,2018,SP,36844,70645,21104181
1137070,camara,2018,TO,37906,49868,715942
1204483,camara,2018,MG,36832,70481,10078120
1141555,camara,2018,SP,36815,97862,21104181
1204478,camara,2018,RJ,36899,57707,7720770
1160591,camara,2018,AP,37906,18818,364871
1204532,camara,2018,SP,37901,207118,21104181
1179587,camara,2018,GO,36837,31190,3031194
1178992,camara,2018,SP,36835,120529,21104181
1204443,camara,2018,RJ,36815,65868,7720770
1160569,camara,2018,BA,36844,121278,6868013
1178952,camara,2018,RN,36899,79333,1609833
1160518,camara,2018,MG,36763,129199,10078120
174043,camara,2018,PB,37906,107465,1989377
174044,camara,2018,PB,36845,86208,1989377
1204463,camara,2018,RJ,36824,39398,7720770
174439,camara,2018,PE,36786,82592,4331764
1178889,camara,2018,MA,36844,76893,3270678
1204559,camara,2018,BA,36844,129196,6868013
1160632,camara,2018,MG,36765,109335,10078120
1204517,camara,2018,MG,36801,32833,10078120
1160592,camara,2018,PR,36844,77306,5731922
25982,senado,2018,SE,36886,474449,1828084
25967,senado,2018,BA,36834,3927598,11910849
2751,senado,2018,RJ,36834,2382265,13965981
26295,senado,2018,MT,36834,434972,2752935
25990,senado,2018,MG,36793,3568658,17648612
2470,senado,2018,RR,36769,111466,495575
25973,senado,2018,CE,36786,3228533,7757861
2739,senado,2018,PI,37903,897959,3001133
2475,senado,2018,RO,36899,230361,1350564
25998,senado,2018,PB,37903,831701,3429862
24994,senado,2018,AM,36899,607286,3292236
25976,senado,2018,CE,36763,1325786,7757861
23777,senado,2018,TO,36765,248358,1274703
25718,senado,2018,MA,37905,1539942,5704126
222,senado,2018,SC,37903,1226064,6530439
25953,senado,2018,ES,36886,1117036,3586088
25581,senado,2018,DF,36824,268078,2634417
2345,senado,2018,PR,36886,2331740,10136937
25894,senado,2018,RJ,36837,4380418,13965981
25008,senado,2018,PE,36844,1713565,6653095
25385,senado,2018,TO,36834,214355,1274703
24770,senado,2018,DF,36835,403735,2634417
235,senado,2018,PA,36899,1383306,7007044
2581,senado,2018,BA,36844,4253331,11910849
24545,senado,2018,PE,36899,1430802,6653095
24531,senado,2018,MT,36769,490699,2752935
25895,senado,2018,GO,36824,1557415,5517329
25350,senado,2018,SC,37906,1179757,6530439
2878,senado,2018,SP,36835,46751,21104181
25929,senado,2018,MT,36837,678542,2752935
25979,senado,2018,DF,36832,467787,2634417
25926,senado,2018,AP,36845,128186,572432
21186,senado,2018,RS,37903,2316365,10556398
25666,senado,2018,SP,36837,9039717,35029120
25376,senado,2018,SP,36835,6513282,35029120
2742,senado,2018,PI,36899,812213,3001133
2285,senado,2018,AC,36899,185066,794909
25422,senado,2018,RO,36769,324939,1350564
25942,senado,2018,ES,37905,863359,3586088
26027,senado,2018,RR,36815,85366,495575
25985,senado,2018,MS,36845,424085,2308521
25924,senado,2018,PR,36896,2957239,10136937
25617,senado,2018,RO,36833,20297,783305
2825,senado,2018,RS,36844,1875245,10556398
25502,senado,2018,AM,36835,834809,3292236
25012,senado,2018,AP,36886,264798,572432
